"id","create_time","userid","n_cpus","p_model","os_name","os_version","product_name","p_ngpus"
"1","1621306220","1","4","ARMv7 Processor rev 0 (v7l)","Android","3.10.49-12476963 (Android 7.1.1)","samsung SM-J510FN - SDK:25 ABI: armeabi-v7a","0"
"2","1621637409","2","8","AArch64 Processor rev 4 (aarch64) [Impl 0x41 Arch 8 Variant 0x0 Part 0xd03 Rev 4]","Android","3.18.31-perf-gff2b073 (Android 7.0)","HUAWEI HUAWEI CAN-L11 - SDK: 24 ABI: arm64-v8a","0"
"3","1622054324","1","8","","Android","4.4.13-12640043 (Android 7.0)","samsung SM-G950F - SDK:24 ABI: arm64-v8a","1"
"4","1622298752","1","4","ARMv7 Processor rev 0 (v7l)","Android","3.10.49-12476963 (Android 7.1.1)","samsung SM-J510FN - SDK:25 ABI: armeabi-v7a","0"
"5","1622311909","3","8","AArch64 Processor rev 3 (aarch64)","Android","3.10.61-12236002 (Android 7.0)","samsung SM-A510F - SDK:24 ABI: armeabi-v7a","1"
"6","1622407649","1","8","","Android","4.9.148 (Android 9)","HUAWEI STF-L09 - SDK:28 ABI: arm64-v8a","1"
"7","1622408933","1","8","","Android","3.18.120-perf-g51b110d (Android 9)","Xiaomi Mi A1 - SDK:28 ABI: arm64-v8a","0"
"8","1622414957","4","8","","Android","4.9.148 (Android 9)","HUAWEI COR-L29 - SDK:28 ABI: arm64-v8a","1"
"9","1622450210","5","8","","Android","4.4.147+ (Android 9)","ZTE ZTE Blade A5 2019RU - SDK:28 ABI: arm64-v8a","0"
"10","1622494746","4","8","AArch64 Processor rev 4 (aarch64) [Impl 0x41 Arch 8 Variant 0x0 Part 0xd03 Rev 4]","Android","4.9.112-perf-g1aba9bf (Android 9)","Xiaomi Redmi 8 - SDK: 28 ABI: arm64-v8a","0"
"11","1622494827","4","8","","Android","4.14.94+ (Android 9)","Xiaomi Redmi Note 8 Pro - SDK:28 ABI: arm64-v8a","1"
